#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
warrior_lodge_eruist;The Fellowship;;;;;;;;;;;;;x
warrior_lodge_eruist_desc;This band of warriors and knights started 400 years ago with the legendary Founders of New Zealand. They are dedicated to dueling and perfecting their military skills, in order to prove worthy of the title of hero. Though they were almost destroyed during the occupation fo New Zealand, they survived in secret.;;;;;;;;;;;;;x
warrior_lodge_eruist_leader_desc;Champion of the Fellowship;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_1_male;Apprentice;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_1_female;Apprentice;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_2_male;Knight;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_2_female;Knight;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_3_male;Master;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_3_female;Mistress;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_4_male;Council Master;;;;;;;;;;;;;x
warrior_lodge_eruist_rank_4_female; Council Mistress;;;;;;;;;;;;;x
currency_name_warrior_lodge_eruist;Renown;;;;;;;;;;;;;x
