#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
southcrosser;Southcrosser;;;;;;;;;;;;;x
southcrosser_full;Church of Southern Cross;;;;;;;;;;;;x
southcrosser_DESC;
The Church of the Southern Cross emerged after a prophet somewhere in the australian interior was given a new bible by Our Saviour, the Gospel. After that the church grew in numbers and spread like wildfire, both through missionary work and war. \nThe head of the church is the archbishop, who lives and rules Brisbane. However he is elected by a council of bishops. \nThough some claim the church is not christian due to their refusal of the trinity (instead choosing to replace it with a system of four different forms of God), the majority still says they are christians.;;;;;;;;;;;;;x
THE_GOSPEL;The Gospel;;;;;;;;;;;;;x
GOD_THE_SAVIOUR;The Saviour;;;;;;;;;;;;;x
GOD_THE_SOUTHERN_CROSS;The Southern Cross;;;;;;;;;;;;;x
FALLEN_ANGEL;Fallen Angel;;;;;;;;;;;;;x
THE_GREAT_HERETIC;The Great Heretic;;;;;;;;;;;;;x
GOD_THE_HIDDEN_GOD;The Hidden God;;;;;;;;;;;;;x
HEBREW_GOD;The Hebrew God;;;;;;;;;;;;;x
DEMIURGE;The Demiurge;;;;;;;;;;;;;x
GOD_STPAUL;Paul the Apostle;;;;;;;;;;;;;x
PROPHET_MARCION;Marcion of Sinope;;;;;;;;;;;;;x
johanite;Johanite;;;;;;;;;;;;;x
SATAN;Satan;;;;;;;;;;;;;x
THE_NEW_TESTAMENT;The New Testament;;;;;;;;;;;;;x
johanite_full;Johanite;;;;;;;;;;;;;x
johanite_DESC;This movement claims to be based on the ideas of John I, duke of Toowoomba, who famously opposed archbishop Holy Warrior I during the Sydney Accusations. Though in reality these two movements don’t share much beyond an opposition to the archbishop. ;;;;;;;;;;;;;x
gnostic;Markonite;;;;;;;;;;;;;x
gnostic_full;The Church of Markos;;;;;;;;;;;;;x
gnostic_DESC;The early days of the life of Prophet Markos were rather adventurous. He was the son of a significant Westralian merchant, but in his twenties he traveled east, becoming a member of the Church of Southern Cross. He participated in the Third Crusade and fought on the front lines. After suffering a severe injury, he settled down in newly founded Kingdom of Elizabeth. There he wrote his Gospel of The Saviour, based on the Southcrosser version of Jesus' life, with the teaching of True Church and his newly acquired pacifistic and gnostic ideals influencing it significantly. /nMarkonites reject the Creator featured in Southcrosser Book of Journey and Book of Drought as a genocidal maniac and the doctrine of four distinct forms of God. Rather, Markonites direct their worship towards Jesus, who is seen as an aspect of a Saviour god sent to rescue humanity from earthly suffering.;;;;;;;;;;;;;x
true_church;True Church;;;;;;;;;;;;;x
true_church_full;True Church;;;;;;;;;;;;;x
true_church_DESC;True Church - After the event and the rise of the Church of the Southern Cross, the few australian christians who refused to switch their allegiance to the new church banded together and reorganized in the west, where the new faith was the weakest, forming the 'True and Christian Church of God and Jesus Christ', commonly known as the True Church. The religion blends aspects of several pre-existing denominations.;;;;;;;;;;;;;x,,
aotearoan;Aotearoan;;;;;;;;;;;;;x
aotearoan_full;Aotearoan;;;;;;;;;;;;;x
aotearoan_DESC;After the chaos that consumed the islands after the event, the former Maori Church became the only christian group in the region, as every other denomination was replaced by Eruism. Though still christian, the aotearoan church has adopted some elements from Eruism.;;;;;;;;;;;;;x,,,
MANA;Mana;;;;;;;;;;;;;x
GOD_ATUA;Atua;;;;;;;;;;;;;x
purist;Purist;;;;;;;;;;;;;x
purist_full;Purist;;;;;;;;;;;;;x
purist_DESC;After the Aotearoan Church became widespread and started accepting anglos and other peoples into the fold, a group of priests and theologians founded the Purist Movement, which sought to bring the church back to what they saw as ‘the rightful path’, in which the maori are the chosen people and foreigners are not allowed.;;;;;;;;;;;;;x,,,
indian;Indian;;;;;;;;;;;;;x
indian_full;Indian;;;;;;;;;;;;;x
indian_DESC;Indian church is christian denomination which have evolved from baptist and presbyterian churches in northeastern India.;;;;;;;;;;;;;x
eruist;Eruist;;;;;;;;;;;;x
eruist_full;Eruism;;;;;;;;;;;;x
eruist_DESC;Though the origins of Eruism are shrouded in mystery and legend, with some claiming it was founded by a prophet known only as ‘Tolkien’, it is known that this monotheistic religion only became widespread after the XXII century. Followers believe in Eru Ilúvatar, the only god and the creator of all life, though they also believe in countless other beings, like the Ainur, and in the prophecy of the Chosen One.
;;;;;;;;;;;;x
GOD_ERU_ILUVATAR;Eru Ilúvatar;;;;;;;;;;;;x
GOD_THE_HEROES;the Heroes;;;;;;;;;;;;x
GOD_THE_CHOOSEN_ONE;The Chosen One;;;;;;;;;;;;x
GOD_VALAR;the Valar;;;;;;;;;;;;x
